Name,Md5,e_magic,e_cblp,e_cp,e_crlc,e_cparhdr,e_minalloc,e_maxalloc,e_ss,e_sp,e_csum,e_ip,e_cs,e_lfarlc,e_ovno,e_oemid,e_oeminfo,e_lfanew,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,Reserved1,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsLength,SectionMeanEntropy,SectionMinEntropy,SectionMaxEntropy,SectionMeanRawsize,SectionMinRawsize,SectionMaxRawsize,SectionMeanVirtualsize,SectionMinVirtualsize,SectionMaxVirtualsize,SectionMeanPhysical,SectionMinPhysical,SectionMaxPhysical,SectionMeanVirtualAddress,SectionMinVirtualAddress,SectionMaxVirtualAddress,SectionMeanPointerData,SectionMinPointerData,SectionMaxPointerData,SectionMeanChar,SectionMinChar,SectionMaxChar,SizeImageDirectoryEntryExport,RVAImageDirectoryEntryExport,SizeImageDirectoryEntryImport,RVAImageDirectoryEntryImport,SizeImageDirectoryEntryResource,RVAImageDirectoryEntryResource,SizeImageDirectoryEntryException,RVAImageDirectoryEntryException,SizeImageDirectoryEntrySecurity,RVAImageDirectoryEntrySecurity,SumImportFunction,SumImportFunctionMethod,Label
aaclient.dll,72709d3916eeb9031b6cc0cf8d5b39cc,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,332,4,1247533425,0,0,224,8450,267,9,0,114176,19968,0,51271,4096,118784,335544320,4096,512,6,1,6,1,5,1,0,143360,1024,148043,3,320,262144,4096,1048576,4096,0,16,4,5.090317545310656,2.974452488338992,6.1193134276854515,32384.0,1536,114176,33428.5,1304,114172,33428.5,1304,114172,95232.0,4096,131072,88064.0,1024,118784,1753219128.0,1073741888,3221225536,172,118096,100,116072,1304,126976,0,0,0,0,4,87,1
acledit.dll,76828928a893d595ef5ca2c53b2b48c0,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,332,4,1247533436,0,0,224,8450,267,9,0,4096,3072,0,5981,4096,8192,767557632,4096,512,6,1,6,1,6,1,0,20480,1024,47996,2,320,262144,4096,1048576,4096,0,16,4,3.215173373211784,0.27874732431271465,5.913710196855644,1664.0,512,4096,1580.0,330,3834,1580.0,330,3834,10240.0,4096,16384,4736.0,1024,7168,1753219128.0,1073741888,3221225536,266,7664,80,7020,1304,12288,0,0,0,0,3,22,1
Accessibility - Copy (212148222).dll,7e8c840853fb6ebd5cc16d3c10c7c127,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,128,332,3,1244093460,0,0,224,8462,267,8,0,8192,2048,0,16302,8192,16384,1610612736,8192,512,4,0,0,0,4,0,0,32768,512,70488,3,1024,1048576,4096,1048576,4096,0,16,3,2.7785819559540528,0.08153941234324169,5.718414844372638,3413.3333333333335,512,8192,3058.6666666666665,12,8116,3058.6666666666665,12,8116,16384.0,8192,24576,6485.333333333333,512,10240,1263883658.6666667,1073741888,1610612768,0,0,75,16224,1048,16384,0,0,0,0,1,1,1
acledit - Copy.dll,76828928a893d595ef5ca2c53b2b48c0,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,332,4,1247533436,0,0,224,8450,267,9,0,4096,3072,0,5981,4096,8192,767557632,4096,512,6,1,6,1,6,1,0,20480,1024,47996,2,320,262144,4096,1048576,4096,0,16,4,3.215173373211784,0.27874732431271465,5.913710196855644,1664.0,512,4096,1580.0,330,3834,1580.0,330,3834,10240.0,4096,16384,4736.0,1024,7168,1753219128.0,1073741888,3221225536,266,7664,80,7020,1304,12288,0,0,0,0,3,22,1
accessibilitycpl - Copy.dll,ea5b2e99fc932af500f8863683bab5b3,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,224,332,4,1247533432,0,0,224,8450,267,9,0,112128,3625984,0,78355,4096,118784,944111616,4096,512,6,1,6,1,6,1,0,3751936,1024,3733342,2,320,262144,4096,1048576,4096,0,16,4,4.627206781001129,2.8838150608553774,6.919306926555281,931584.0,1536,3595776,934283.5,13260,3595280,934283.5,13260,3595280,997376.0,4096,3731456,984832.0,1024,3710464,1753219128.0,1073741888,3221225536,212,116000,260,104552,3595280,135168,0,0,0,0,12,308,1
AcLayers.dll,1351931877de0c46c4d42daa26f7b5b1,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,332,4,1247533435,0,0,224,8450,267,9,0,425984,138752,0,8191,4096,434176,1904214016,4096,512,6,1,6,1,6,1,0,573440,1536,599037,3,320,262144,4096,1048576,4096,0,16,4,5.083081156914151,2.4983929409090457,6.792651658192977,139520.0,30208,425984,140888.25,29720,425965,140888.25,29720,425965,361472.0,4096,540672,354944.0,1536,529408,1753219128.0,1073741888,3221225536,93,421776,320,422188,67704,471040,0,0,0,0,15,323,1
ACCTRES.dll,494e31f87662c486ef2f2048d599ac46,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,184,332,1,1247533433,0,0,224,8450,267,9,0,0,38912,0,0,4096,4096,4194304,4096,512,6,1,6,1,6,0,0,45056,512,86904,2,1344,262144,4096,1048576,4096,0,16,1,5.38923708410858,5.38923708410858,5.38923708410858,38912.0,38912,38912,38680.0,38680,38680,38680.0,38680,38680,4096.0,4096,4096,512.0,512,512,1073741888.0,1073741888,1073741888,0,0,0,0,38680,4096,0,0,0,0,0,0,1
Accessibility - Copy (212148223).dll,7e8c840853fb6ebd5cc16d3c10c7c127,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,128,332,3,1244093460,0,0,224,8462,267,8,0,8192,2048,0,16302,8192,16384,1610612736,8192,512,4,0,0,0,4,0,0,32768,512,70488,3,1024,1048576,4096,1048576,4096,0,16,3,2.7785819559540528,0.08153941234324169,5.718414844372638,3413.3333333333335,512,8192,3058.6666666666665,12,8116,3058.6666666666665,12,8116,16384.0,8192,24576,6485.333333333333,512,10240,1263883658.6666667,1073741888,1610612768,0,0,75,16224,1048,16384,0,0,0,0,1,1,1
aaclient - Copy.dll,72709d3916eeb9031b6cc0cf8d5b39cc,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,332,4,1247533425,0,0,224,8450,267,9,0,114176,19968,0,51271,4096,118784,335544320,4096,512,6,1,6,1,5,1,0,143360,1024,148043,3,320,262144,4096,1048576,4096,0,16,4,5.090317545310656,2.974452488338992,6.1193134276854515,32384.0,1536,114176,33428.5,1304,114172,33428.5,1304,114172,95232.0,4096,131072,88064.0,1024,118784,1753219128.0,1073741888,3221225536,172,118096,100,116072,1304,126976,0,0,0,0,4,87,1
accessibilitycpl.dll,ea5b2e99fc932af500f8863683bab5b3,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,224,332,4,1247533432,0,0,224,8450,267,9,0,112128,3625984,0,78355,4096,118784,944111616,4096,512,6,1,6,1,6,1,0,3751936,1024,3733342,2,320,262144,4096,1048576,4096,0,16,4,4.627206781001129,2.8838150608553774,6.919306926555281,931584.0,1536,3595776,934283.5,13260,3595280,934283.5,13260,3595280,997376.0,4096,3731456,984832.0,1024,3710464,1753219128.0,1073741888,3221225536,212,116000,260,104552,3595280,135168,0,0,0,0,12,308,1
