Name,Md5,e_magic,e_cblp,e_cp,e_crlc,e_cparhdr,e_minalloc,e_maxalloc,e_ss,e_sp,e_csum,e_ip,e_cs,e_lfarlc,e_ovno,e_oemid,e_oeminfo,e_lfanew,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,Reserved1,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsLength,SectionMeanEntropy,SectionMinEntropy,SectionMaxEntropy,SectionMeanRawsize,SectionMinRawsize,SectionMaxRawsize,SectionMeanVirtualsize,SectionMinVirtualsize,SectionMaxVirtualsize,SectionMeanPhysical,SectionMinPhysical,SectionMaxPhysical,SectionMeanVirtualAddress,SectionMinVirtualAddress,SectionMaxVirtualAddress,SectionMeanPointerData,SectionMinPointerData,SectionMaxPointerData,SectionMeanChar,SectionMinChar,SectionMaxChar,SizeImageDirectoryEntryExport,RVAImageDirectoryEntryExport,SizeImageDirectoryEntryImport,RVAImageDirectoryEntryImport,SizeImageDirectoryEntryResource,RVAImageDirectoryEntryResource,SizeImageDirectoryEntryException,RVAImageDirectoryEntryException,SizeImageDirectoryEntrySecurity,RVAImageDirectoryEntrySecurity,SumImportFunction,SumImportFunctionMethod,Label
System.Runtime.Serialization.dll,064b3578479ae5c04600ae40bb8e7469,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,128,332,3,1578479372,0,0,224,8462,267,8,0,835584,131072,0,840558,8192,843776,2035482624,8192,4096,4,0,0,0,4,0,0,983040,4096,1020077,3,1344,1048576,4096,1048576,4096,0,16,3,3.1853590077589797,0.015920183265625627,5.755214492829629,322218.66666666674,4096,835584,319006.66666666674,12,832372,319006.66666666674,12,832372,608938.6666666665,8192,974848,603477.3333333335,4096,966656,1263883658.6666667,1073741888,1610612768,0,0,79,840476,124636,843776,0,0,0,0,1,1,1
r2netdll.dll,f73590cd24a8be1c2a67a83c1c31a892,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,280,332,4,1082917622,0,0,224,8462,267,7,0,409600,806912,0,406762,4096,413696,268435456,4096,4096,4,0,0,0,4,0,0,1220608,4096,0,3,0,1048576,4096,1048576,4096,0,16,4,6.493322631174281,5.741819311524048,7.1541994654771175,284672.0,28672,643072,301499.5,27538,717544,301499.5,27538,717544,520192.0,4096,1191936,500736.0,4096,1114112,1753219128.0,1073741888,3221225536,9707,457680,160,454804,0,0,0,0,0,0,7,168,1
tabskb.dll,27c9e1de7f0cb17ec0c042c528913302,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,34404,7,3622857239,0,0,240,8226,523,14,15,1240576,2821120,0,43792,4096,0,6442450944,4096,512,10,0,10,0,10,0,0,4075520,1024,4086101,3,16736,262144,4096,1048576,4096,0,16,7,4.53784617497852,2.3083231974722085,6.300896875452146,579145.1428571428,1536,1415168,580030.5714285715,1096,1415070,580030.5714285715,1096,1415070,2306633.1428571427,4096,4034560,2295222.8571428573,1024,4015104,1768797974.857143,1073741888,3221225536,192,2618224,1100,2618416,1272424,2760704,71676,2682880,0,0,54,864,1
AppVIsvStreamingManager.dll,4ce4a55159c3d5ce1fa5888930effe68,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,280,34404,6,1586401183,0,0,240,8226,523,12,0,65536,143360,0,58160,4096,0,6442450944,4096,512,6,0,0,0,6,0,0,225280,1024,256299,2,352,1048576,4096,1048576,4096,0,16,6,4.858800854750246,3.6363925103096535,6.108650261070138,34474.666666666664,2048,124928,34571.333333333336,1768,124440,34571.333333333336,1768,124440,150869.33333333337,4096,217088,142336.0,1024,201216,1526726714.6666667,1073741888,3221225536,162,191264,200,191428,1768,212992,4596,204800,9080,207872,9,84,1
libgcc_s_seh-1.dll,c76586134e031c00e9d72fa11b7ade47,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,128,34404,11,0,82944,56,240,8742,523,2,32,60928,81920,2560,4944,4096,0,1631846400,4096,512,4,0,0,0,5,2,0,114688,1024,120184,3,0,2097152,4096,1048576,4096,0,16,11,2.819489367438765,0.0,6.240654513517318,7447.272727272727,0,60928,7417.272727272727,16,60832,7417.272727272727,16,60832,82664.72727272728,4096,110592,61160.72727272727,0,82432,2106017306.1818182,1076887616,3227517056,2814,94208,1976,98304,0,0,2280,81920,0,0,3,48,1
libGLESv2.dll,3b70e5effa1b24f946ecac14c18adf78,23117,120,1,0,4,0,0,0,0,0,0,0,64,0,0,0,120,34404,9,1544504400,0,0,240,8226,523,14,0,2289152,384512,0,2098124,4096,0,6442450944,4096,512,5,2,0,0,5,2,0,3018752,1536,2700686,3,352,1048576,4096,1048576,4096,0,16,9,3.7974192254366006,0.020393135236084957,6.3862810402461045,297073.7777777777,512,2289152,332974.11111111107,16,2289110,332974.11111111107,16,2289110,2528142.222222222,4096,3002368,2303203.5555555555,1536,2659840,1614341066.6666667,1073741888,3221225536,8456,2526040,100,2534496,944,2998272,73608,2912256,13056,2675200,4,170,1
qwindows.dll,a63cc145cd769200dbb9f6cb3ebdaca6,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,280,34404,7,1491231531,0,0,240,8226,523,10,0,764416,450048,0,765164,4096,0,6442450944,4096,512,5,2,601,4,5,2,0,1236992,1024,1242213,2,448,1048576,4096,1048576,4096,0,16,7,4.550631132436863,2.804963304596418,6.4324664617629415,172032.0,512,764416,173143.7142857143,272,764147,173143.7142857143,272,764147,964315.4285714284,4096,1224704,948809.1428571428,1024,1196544,1500362518.857143,1073741888,3221225536,117,1144288,260,1069404,832,1220608,46644,1167360,34344,1205248,12,1434,1
TfFontMgr.dll,553390f276eba54803d07ecbb4c1fead,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,288,34404,6,1559772032,0,0,240,8226,523,14,13,145408,6560256,0,140216,4096,0,6442450944,4096,512,6,0,0,0,6,0,0,6721536,1024,244753,2,352,1048576,4096,1048576,4096,0,16,6,4.718823068078819,3.6589246720074784,6.275295263873348,37717.333333333336,512,145408,1117416.333333333,368,6480656,1117416.333333333,368,6480656,3418794.666666666,4096,6717440,172032.0,1024,226816,1526726714.6666667,1073741888,3221225536,4988,212192,320,217180,1416,6713344,8052,6705152,7752,227328,15,102,1
DefenderCSP.dll,253ddb7007125d00ead53673861f8e1d,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,34404,6,63433404,0,0,240,8226,523,14,15,76288,42496,0,74384,4096,0,6442450944,4096,512,10,0,10,0,10,0,0,139264,1024,159849,3,16736,262144,4096,1048576,4096,0,16,6,4.46639722474108,3.366741737860319,6.2401422284394,19370.666666666668,1024,76288,19612.666666666668,1008,76154,19612.666666666668,1008,76154,98304.0,4096,135168,87552.0,1024,115712,1526726714.6666667,1073741888,3221225536,112,106912,160,107024,1008,131072,4452,122880,8504,117248,7,130,1
alinkui.dll,dd5eb2470b3c085ac1f2e8b5f65de8d4,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,176,332,2,1551510249,0,0,224,8482,267,14,10,0,19456,0,0,4096,4096,268435456,4096,512,6,0,10,0,6,0,0,28672,512,93425,3,1344,1048576,4096,1048576,4096,0,16,2,2.187382777149541,0.998938682670292,3.375826871628792,9728.0,512,18944,9512.0,112,18912,9512.0,112,18912,6144.0,4096,8192,768.0,512,1024,1073741888.0,1073741888,1073741888,0,0,0,0,18912,8192,0,0,15920,19968,0,0,1
