Name,Md5,e_magic,e_cblp,e_cp,e_crlc,e_cparhdr,e_minalloc,e_maxalloc,e_ss,e_sp,e_csum,e_ip,e_cs,e_lfarlc,e_ovno,e_oemid,e_oeminfo,e_lfanew,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,Reserved1,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsLength,SectionMeanEntropy,SectionMinEntropy,SectionMaxEntropy,SectionMeanRawsize,SectionMinRawsize,SectionMaxRawsize,SectionMeanVirtualsize,SectionMinVirtualsize,SectionMaxVirtualsize,SectionMeanPhysical,SectionMinPhysical,SectionMaxPhysical,SectionMeanVirtualAddress,SectionMinVirtualAddress,SectionMaxVirtualAddress,SectionMeanPointerData,SectionMinPointerData,SectionMaxPointerData,SectionMeanChar,SectionMinChar,SectionMaxChar,SizeImageDirectoryEntryExport,RVAImageDirectoryEntryExport,SizeImageDirectoryEntryImport,RVAImageDirectoryEntryImport,SizeImageDirectoryEntryResource,RVAImageDirectoryEntryResource,SizeImageDirectoryEntryException,RVAImageDirectoryEntryException,SizeImageDirectoryEntrySecurity,RVAImageDirectoryEntrySecurity,SumImportFunction,SumImportFunctionMethod
alinkui.dll,dd5eb2470b3c085ac1f2e8b5f65de8d4,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,176,332,2,1551510249,0,0,224,8482,267,14,10,0,19456,0,0,4096,4096,268435456,4096,512,6,0,10,0,6,0,0,28672,512,93425,3,1344,1048576,4096,1048576,4096,0,16,2,2.187382777149541,0.998938682670292,3.375826871628792,9728.0,512,18944,9512.0,112,18912,9512.0,112,18912,6144.0,4096,8192,768.0,512,1024,1073741888.0,1073741888,1073741888,0,0,0,0,18912,8192,0,0,15920,19968,0,0
VirusShare_101a14dbfd11b04551dc661228b99e3b,101a14dbfd11b04551dc661228b99e3b,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,224,34404,4,1254808735,0,0,240,3107,523,8,0,57344,6144,0,39104,8192,0,4294967296,8192,512,5,2,5,2,5,2,0,155648,1024,579590,2,32768,524288,8192,1048576,4096,0,16,4,1.351679262797598,0.0,5.406717051190392,135680.0,512,482816,33609.0,2004,71752,33609.0,2004,71752,90112.0,8192,147456,44800.0,1024,60928,1744830520.0,1073741888,3221225536,0,0,160,61728,3432,147456,2004,139264,6032,543744,0,0
VirusShare_88ebfe19f13b2663e242a2421e5498be,88ebfe19f13b2663e242a2421e5498be,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,34404,6,1290248647,0,0,240,34,523,9,0,682496,800768,0,86700,4096,0,4294967296,4096,512,6,1,6,1,6,1,0,1499136,1536,1512617,2,33088,524288,8192,1048576,4096,0,16,6,1.0610796538159752,0.0,6.366477922895851,245674.66666666663,10752,682496,246986.66666666663,10500,682356,246986.66666666663,10500,682356,826026.6666666665,4096,1486848,813994.6666666665,1536,1464832,1526726714.6666667,1073741888,3221225536,89,785988,400,787704,517168,966656,47520,917504,0,0,0,0
VirusShare_0709fd721e486fc3091542ff7e4a0b49,0709fd721e486fc3091542ff7e4a0b49,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,216,34404,4,1122960915,0,0,240,35,523,8,0,23040,7680,0,1073769949,4096,0,16777216,4096,512,5,2,5,2,5,2,0,81920,1024,80822,2,32768,524288,8192,1048576,4096,0,16,4,2.958133313864984,0.0,6.035725372286876,6784.0,1024,23040,7419.0,1020,22584,7419.0,1020,22584,27648.0,4096,40960,939543424.0,1024,3758123008,1744830520.0,1073741888,3221225536,0,0,80,24720,1064,40960,1020,36864,0,0,3,65
VirusShare_84cfe7687705b1cbc1c2a2eafc9c6636,84cfe7687705b1cbc1c2a2eafc9c6636,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,216,34404,9,1290250352,0,0,240,34,523,9,0,134656,31744,0,177104,4096,0,65536,4096,512,6,1,6,1,6,1,0,192512,1024,179073,1,0,262144,4096,1048576,4096,0,16,9,4.543534767630859,1.5545323984431425,6.424162729199817,18147.55555555556,512,72704,18225.222222222223,124,72304,18225.222222222223,124,72304,111957.33333333331,4096,188416,97848.88888888886,1024,163840,1860406890.6666667,1107296320,3791650848,0,0,100,178712,1056,184320,8460,77824,0,0,4,98
AIDE.dll,46f7cdc2a868a95641f25c403edb11a3,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,312,34404,9,1533902891,0,0,240,8226,523,14,12,2501632,735232,0,2329816,4096,0,6442450944,4096,512,6,0,0,0,6,0,0,3264512,1024,3224594,2,352,1048576,4096,1048576,4096,0,16,9,4.6291339390726005,0.14736507530476972,6.535725985610629,352369.77777777775,512,2360832,359402.33333333326,32,2360517,359402.33333333326,32,2360517,2677873.777777778,4096,3256320,2628721.777777778,1024,3167744,1673993386.6666667,1073741888,3221225536,12048,3037248,300,3049296,1824,3252224,78612,3162112,7752,3172352,14,148
VirusShare_130b6895069434a86dfa55d2f785b4d1,130b6895069434a86dfa55d2f785b4d1,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,232,34404,5,1351697502,0,0,240,34,523,10,10,8704,208384,0,5160,4096,0,5368709120,4096,512,6,2,6,2,5,2,0,237568,1024,294197,2,33120,524288,8192,1048576,4096,0,16,5,1.1593928073478976,0.0,5.796964036739488,43417.6,512,206848,43417.6,72,206576,43417.6,72,206576,59801.6,4096,233472,49868.8,1024,217600,1617323680.0,1073741888,3221225536,0,0,80,10980,206576,24576,408,20480,15448,218112,0,0
VirusShare_87ca29e17722011cf27d54e57065f8a5,87ca29e17722011cf27d54e57065f8a5,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,248,34404,5,1247529507,0,0,240,34,523,9,0,55296,1112064,0,51656,4096,0,4294967296,4096,512,6,1,6,1,5,2,0,1191936,1024,1227667,2,32832,524288,8192,1048576,4096,0,16,5,4.835897586948071,0.20134432838821048,7.963652201477664,233472.0,512,1107968,235345.6,324,1110016,235345.6,324,1110016,280985.6,4096,1187840,268697.6,1024,1167872,1617323680.0,1073741888,3221225536,0,0,160,54832,1107744,77824,1404,73728,0,0,7,152
ahost.exe,c7a0b22dba6a81ae028242d0737fd231,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,128,34404,10,0,22016,79,240,551,523,2,30,9728,20992,2560,5360,4096,0,4194304,4096,512,4,0,0,0,5,2,0,53248,1024,40873,3,0,2097152,4096,1048576,4096,0,16,10,2.6129696540383978,0.0,5.984496083750368,2099.2,0,9728,2072.0,16,9624,2072.0,16,9624,29900.8,4096,49152,12902.4,0,20480,2420323196.8,1076887616,3227517056,0,0,2716,36864,1256,49152,756,24576,0,0,4,69
VirusShare_93fff21615665e21817ccb6e94f7eca8,93fff21615665e21817ccb6e94f7eca8,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,248,34404,5,1299587833,0,0,240,34,523,10,0,53760,634368,0,50000,4096,0,4294967296,4096,512,6,1,6,1,5,2,0,712704,1024,678485,2,33088,524288,8192,1048576,4096,0,16,5,4.7990937073747215,0.21776995545804625,7.777237780107951,137625.6,512,630272,139107.2,324,629992,139107.2,324,629992,185139.2,4096,708608,171929.6,1024,688640,1617323680.0,1073741888,3221225536,0,0,160,53616,629992,77824,1404,73728,0,0,7,154
